Community,Condition,Order,Category,Concept,Round,Population signals,Entropy_population
1,Early,Dir,Places,Parliment,1,"[1, 1, 1, 1, 0]",2.0
1,Early,Dir,Places,Parliment,2,"[1, 1, 0, 2, 0]",1.5
1,Early,Dir,Places,Parliment,3,"[3, 1, 0, 0, 0]",0.8112781244591328
1,Early,Dir,Places,Parliment,4,"[3, 1, 0, 0, 0]",0.8112781244591328
1,Early,Dir,People,Brad Pitt,1,"[1, 1, 1, 1, 0]",2.0
1,Early,Dir,People,Brad Pitt,2,"[0, 2, 2, 0, 0]",1.0
1,Early,Dir,People,Brad Pitt,3,"[0, 2, 1, 0, 1]",1.5
1,Early,Dir,People,Brad Pitt,4,"[0, 2, 1, 0, 1]",1.5
1,Early,Dir,Entertainment,Drama,1,"[1, 1, 1, 1, 0]",2.0
1,Early,Dir,Entertainment,Drama,2,"[0, 2, 2, 0, 0]",1.0
1,Early,Dir,Entertainment,Drama,3,"[0, 0, 4, 0, 0]",-0.0
1,Early,Dir,Entertainment,Drama,4,"[0, 0, 4, 0, 0]",-0.0
1,Early,Dir,Objects,Television,1,"[1, 1, 1, 1, 0]",2.0
1,Early,Dir,Objects,Television,2,"[0, 2, 2, 0, 0]",1.0
1,Early,Dir,Objects,Television,3,"[0, 4, 0, 0, 0]",-0.0
1,Early,Dir,Objects,Television,4,"[0, 4, 0, 0, 0]",-0.0
1,Early,Dir,Abstract,Homesick,1,"[1, 1, 1, 1, 0]",2.0
1,Early,Dir,Abstract,Homesick,2,"[0, 2, 0, 2, 0]",1.0
1,Early,Dir,Abstract,Homesick,3,"[0, 4, 0, 0, 0]",-0.0
1,Early,Dir,Abstract,Homesick,4,"[0, 4, 0, 0, 0]",-0.0
1,Early,Dir,People,Arnold S.,1,"[1, 1, 1, 1, 0]",2.0
1,Early,Dir,People,Arnold S.,2,"[1, 1, 0, 2, 0]",1.5
1,Early,Dir,People,Arnold S.,3,"[0, 0, 1, 3, 0]",0.8112781244591328
